epoch,iteration,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/fwavacc,elapsed_time
0,0,,,,,,515194.76826808765,0.728695672982,0.047619047619,0.0346997939515,0.530997383823,158.81405
0,0,506939.40625,0.6234654654654654,0.3333333333333333,0.20782182182182182,0.38870918662806947,,,,,,162.090464
0,1,569628.4375,0.9445159574468085,0.5,0.47225797872340425,0.8921103938716614,,,,,,162.819213
0,2,567104.375,0.48755733333333334,0.16666666666666666,0.08125955555555556,0.23771215328711112,,,,,,163.546333
0,3,498274.6875,0.7610419161676647,0.25,0.19026047904191618,0.5791847981641508,,,,,,164.220125
0,4,490411.0625,0.7027125748502994,0.5,0.3513562874251497,0.49380496285273756,,,,,,164.891664
0,5,478895.25,0.6815928143712575,0.5,0.34079640718562876,0.4645687646025315,,,,,,165.564487
0,6,530811.125,0.6553706666666667,0.3333333333333333,0.2184568888888889,0.4295107107271111,,,,,,166.293709
0,7,453160.71875,0.9565045045045045,0.5,0.47825225225225226,0.9149008671374077,,,,,,166.966766
0,8,443991.90625,0.8052732732732732,0.3333333333333333,0.26842442442442443,0.6484650446482518,,,,,,167.640622
0,9,429764.84375,0.727009009009009,0.25,0.18175225225225225,0.5285420991802613,,,,,,168.314129
0,10,547205.0,0.21586093990755006,0.3333333333333333,0.07195364663585002,0.04659594537777094,,,,,,169.198966
0,11,427689.96875,0.875728,0.5,0.437864,0.7668995299839999,,,,,,169.927011
0,12,452326.96875,0.4170810810810811,0.5,0.20854054054054055,0.17395662819576335,,,,,,170.600681
0,13,398724.34375,0.5762590361445783,0.5,0.28812951807228915,0.3320744767382784,,,,,,171.273448
0,14,364761.25,0.8557973333333333,0.5,0.42789866666666665,0.7323890757404444,,,,,,171.998995
0,15,382429.28125,0.701856,0.5,0.350928,0.49260184473600005,,,,,,172.728301
0,16,414503.96875,0.5908693333333334,0.25,0.14771733333333334,0.3491265690737778,,,,,,173.455172
0,17,217736.359375,0.9576456456456457,0.5,0.47882282282282285,0.9170851826240656,,,,,,174.130954
0,18,307981.40625,0.7772266666666666,0.3333333333333333,0.25907555555555556,0.6040812913777777,,,,,,174.859982
0,19,212296.125,0.8307784810126583,0.5,0.41538924050632914,0.6901928845136998,,,,,,175.514975
0,20,211793.109375,0.8478026666666667,0.5,0.42390133333333335,0.7187693616071111,,,,,,176.242096
